LOAN_ID,ORIG_CHN,SELLER,orig_rt,orig_amt,orig_trm,orig_date,first_pay,oltv,ocltv,num_bo,dti,CSCORE_B,CSCORE_C,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,prod_type,MI_TYPE,relo_flg
000137638812,R,"CMG Mortgage, Inc",7.375,162000.0,360,2024-01-01,2024-03-01,95.0,95.0,2,11.0,726,778,Y,P,SF,1,P,NE,685,30.0,FRM,1,N
000137765574,R,Other,7.125,474000.0,360,2024-01-01,2024-03-01,46.0,46.0,1,45.0,781,,N,C,PU,1,I,CA,940,,FRM,,N
000137998585,R,Other,7.125,304000.0,360,2024-02-01,2024-04-01,80.0,80.0,2,49.0,709,782,N,P,SF,1,P,TN,371,,FRM,,N
000137753466,C,"AmeriHome Mortgage Company, LLC",7.0,335000.0,360,2023-12-01,2024-02-01,64.0,64.0,2,22.0,808,801,N,P,SF,1,P,MI,486,,FRM,,N
000137774642,C,"CMG Mortgage, Inc",6.875,194000.0,360,2024-01-01,2024-03-01,97.0,97.0,1,36.0,769,,Y,P,SF,1,P,WI,531,25.0,FRM,1,N
000137952893,R,Other,6.99,855000.0,360,2024-03-01,2024-05-01,75.0,75.0,1,49.0,806,,N,P,SF,1,P,MA,021,,FRM,,N
000137970869,R,"New American Funding, LLC",6.625,218000.0,360,2024-03-01,2024-05-01,80.0,80.0,1,48.0,802,,N,P,SF,1,P,MO,655,,FRM,,N
000137598431,R,Other,8.0,300000.0,360,2023-12-01,2024-02-01,97.0,97.0,2,30.0,754,765,Y,P,PU,1,P,CO,804,35.0,FRM,1,N
000137745471,R,Guild Mortgage Company LLC,6.125,295000.0,360,2024-02-01,2024-04-01,64.0,64.0,2,35.0,812,798,N,P,PU,1,P,PA,175,,FRM,,N
000137755482,R,"Lennar Mortgage, LLC",5.25,607000.0,360,2024-02-01,2024-04-01,70.0,70.0,2,27.0,806,810,N,P,PU,1,P,CO,805,,FRM,,N
000137617356,R,Other,7.5,383000.0,360,2023-12-01,2024-02-01,80.0,80.0,1,48.0,762,,N,P,SF,2,P,NE,685,,FRM,,N
000137775478,C,"AmeriHome Mortgage Company, LLC",7.375,150000.0,360,2023-11-01,2024-01-01,97.0,97.0,1,41.0,734,,Y,P,SF,1,P,NM,881,35.0,FRM,1,N
000137948032,R,"Guaranteed Rate, Inc.",6.625,514000.0,360,2024-02-01,2024-04-01,97.0,97.0,2,29.0,774,800,Y,P,PU,1,P,NC,277,35.0,FRM,1,N
000137943270,R,Other,8.125,188000.0,360,2024-02-01,2024-04-01,80.0,80.0,2,41.0,795,791,N,P,SF,1,I,OK,740,,FRM,,N
000138002468,C,Other,6.5,324000.0,360,2024-02-01,2024-04-01,80.0,80.0,1,44.0,746,,Y,P,SF,1,P,FL,322,,FRM,,N
000137973015,R,"Movement Mortgage, LLC",6.875,165000.0,180,2024-03-01,2024-05-01,80.0,80.0,2,25.0,757,739,Y,P,SF,1,P,VA,245,,FRM,,N
000137984650,R,"Guaranteed Rate, Inc.",6.99,424000.0,360,2024-02-01,2024-04-01,95.0,95.0,2,43.0,782,809,Y,P,PU,1,P,TX,761,30.0,FRM,1,N
000137763890,R,"Rocket Mortgage, LLC",6.99,90000.0,360,2024-01-01,2024-03-01,40.0,40.0,2,39.0,675,729,N,C,SF,1,P,OH,444,,FRM,,N
000137622540,R,Other,7.25,458000.0,360,2024-01-01,2024-03-01,54.0,54.0,2,40.0,791,620,N,R,SF,1,P,AR,729,,FRM,,N
000137802240,R,Other,6.375,108000.0,360,2024-02-01,2024-04-01,90.0,90.0,1,47.0,723,,N,P,SF,1,P,PR,009,25.0,FRM,1,N
000137597519,R,Guild Mortgage Company LLC,6.99,450000.0,360,2023-12-01,2024-02-01,90.0,90.0,1,47.0,676,,Y,P,PU,1,P,OR,971,25.0,FRM,1,N
000137782481,R,Other,7.125,220000.0,360,2024-01-01,2024-03-01,80.0,80.0,2,23.0,759,775,Y,P,PU,1,P,TN,371,,FRM,,N
000137800600,R,Other,6.625,391000.0,360,2024-02-01,2024-04-01,95.0,95.0,2,48.0,808,793,N,P,SF,1,P,AL,357,30.0,FRM,1,N
000137758013,R,"CrossCountry Mortgage, LLC",7.0,185000.0,360,2024-02-01,2024-04-01,95.0,95.0,1,49.0,773,,N,P,CO,1,P,MI,481,30.0,FRM,1,N
000137756207,R,"DHI Mortgage Company, Ltd.",6.375,399000.0,360,2024-01-01,2024-03-01,85.0,85.0,2,32.0,801,759,Y,P,PU,1,P,OH,430,12.0,FRM,1,N
000137764093,B,"United Wholesale Mortgage, LLC",6.5,362000.0,360,2024-02-01,2024-04-01,80.0,80.0,1,38.0,762,,N,P,SF,1,I,CA,936,,FRM,,N
000137601084,R,Other,6.75,200000.0,360,2023-12-01,2024-02-01,87.0,87.0,2,24.0,734,750,Y,P,SF,1,P,WI,542,25.0,FRM,1,N
000137767186,R,Other,7.0,210000.0,240,2024-02-01,2024-04-01,70.0,70.0,1,25.0,787,,N,P,CO,1,I,FL,324,,FRM,,N
000137593306,R,"Rocket Mortgage, LLC",6.99,264000.0,360,2023-12-01,2024-02-01,56.0,56.0,2,25.0,669,654,N,C,SF,1,P,AZ,852,,FRM,,N
000137623014,R,Other,7.99,478000.0,360,2023-12-01,2024-02-01,95.0,95.0,2,31.0,741,780,Y,P,PU,1,P,TX,774,30.0,FRM,1,N
000137789600,R,"JPMorgan Chase Bank, National Association",6.75,350000.0,360,2023-11-01,2024-01-01,41.0,41.0,2,15.0,768,768,N,P,PU,1,P,AZ,853,,FRM,,N
000137600002,R,Other,6.375,235000.0,360,2024-01-01,2024-03-01,90.0,90.0,1,40.0,780,,Y,P,SF,1,P,IA,520,25.0,FRM,1,N
000137594501,R,Other,7.0,334000.0,360,2023-12-01,2024-02-01,52.0,52.0,2,46.0,787,787,N,R,SF,1,P,MT,593,,FRM,,N
000137747931,R,"Movement Mortgage, LLC",6.375,179000.0,360,2024-01-01,2024-03-01,90.0,90.0,2,34.0,758,681,N,P,PU,1,P,GA,309,25.0,FRM,1,N
000137753202,R,"CrossCountry Mortgage, LLC",6.625,240000.0,360,2024-02-01,2024-04-01,97.0,97.0,1,40.0,779,,Y,P,SF,1,P,OH,441,25.0,FRM,1,N
000137940895,R,"CrossCountry Mortgage, LLC",7.625,760000.0,360,2024-03-01,2024-05-01,75.0,75.0,1,49.0,769,,N,P,SF,2,I,NY,112,,FRM,,N
000137612526,R,"Movement Mortgage, LLC",6.375,170000.0,360,2023-12-01,2024-02-01,48.0,48.0,2,24.0,721,815,N,P,PU,1,P,FL,335,,FRM,,N
000137989956,B,"United Wholesale Mortgage, LLC",6.45,440000.0,360,2024-02-01,2024-04-01,80.0,80.0,2,34.0,784,811,Y,P,SF,1,P,CO,800,,FRM,,N
000137988210,R,Other,7.375,324000.0,360,2024-03-01,2024-05-01,80.0,80.0,2,32.0,771,759,N,C,SF,1,P,AZ,850,,FRM,,N
000137957490,R,Other,6.625,287000.0,360,2024-02-01,2024-04-01,42.0,42.0,1,20.0,771,,N,P,PU,1,S,FL,321,,FRM,,N
000137941795,R,Other,7.625,70000.0,360,2024-01-01,2024-03-01,70.0,70.0,1,39.0,684,,N,P,SF,1,I,OH,441,,FRM,,N
000137782954,R,"Rocket Mortgage, LLC",7.5,451000.0,360,2024-01-01,2024-03-01,97.0,97.0,2,32.0,797,780,Y,P,PU,1,P,FL,346,35.0,FRM,1,N
000137783498,R,Other,5.625,282000.0,360,2024-01-01,2024-03-01,90.0,90.0,1,44.0,744,,Y,P,PU,1,P,IN,462,25.0,FRM,1,N
000137746984,C,Other,5.99,200000.0,360,2024-01-01,2024-03-01,80.0,80.0,1,28.0,802,,N,P,SF,1,P,TN,380,,FRM,,N
000137977631,R,Other,6.0,100000.0,360,2024-02-01,2024-04-01,10.0,10.0,2,35.0,799,810,N,P,PU,1,P,HI,967,,FRM,,N
000137643166,B,NewRez LLC,6.625,211000.0,360,2024-01-01,2024-03-01,90.0,90.0,2,30.0,761,755,N,P,SF,1,P,OH,431,25.0,FRM,1,N
000137947711,C,"AmeriHome Mortgage Company, LLC",6.5,108000.0,360,2024-02-01,2024-04-01,85.0,93.0,1,39.0,730,,Y,P,SF,1,P,IL,626,12.0,FRM,1,N
000137610625,R,Other,7.0,447000.0,360,2023-12-01,2024-02-01,95.0,95.0,3,44.0,795,683,Y,P,SF,1,P,NJ,074,30.0,FRM,1,N
000137644596,C,"Flagstar Bank, National Association",6.125,400000.0,360,2024-01-01,2024-03-01,31.0,31.0,2,32.0,739,735,Y,P,SF,1,P,CA,926,,FRM,,N
